shipment_id,entry_no,hs_code,product_desc,supplier,country_origin,country_destination,declared_value_usd,invoice_value_usd,weight_kg,volume_m3,broker,port_of_entry,entry_date,accepted_date,release_date,duty_amount_usd,tax_amount_usd,broker_fee_usd,incoterm,license_required,license_obtained,fta_claimed,restricted_party_pass,container_number,slow_clearance
SHIP000001,22EMKIM444597,303286X,MEDICINAL PREPARATIONS,AgriTech Solutions,TANZANIA,UGANDA,88778.63,90696.42,3796.45,3.28,DHL GLOBAL FORWARDING,ABIDJAN,2026-07-29 23:35:56,2026-07-30 00:35:56,2026-07-31 15:35:56,10665.2,15911.01,212.93,FOB,Y,Y,SADC,Y,AMZN543143,N
SHIP000002,22EMKIM486673,842519,CONVEYOR BELT,Industrial Supply Co,DRC,NIGERIA,40045.87,41736.99,2890.99,14.12,DHL GLOBAL FORWARDING,ALEXANDRIA,2025-11-06 23:35:56,2025-11-07 04:35:56,2025-11-11 09:35:56,2160.07,6752.95,193.98,EXW,N,N,COMESA,Y,AMZN148050,Y
SHIP000003,22EMKIM407331,302654,SURGICAL SUPPLIES,ChemCorp Industries,THAILAND,SOUTH AFRICA,55842.05,54005.62,3443.93,4.47,BOLLORE LOGISTICS,PORT ELIZABETH,2026-06-20 23:35:56,2026-06-21 00:35:56,2026-06-20 23:35:56,6863.7,10032.92,240.85,CFR,Y,Y,SADC,Y,AMZN440035,N
SHIP000004,22EMKIM466784,392084,PACKAGING MATERIAL,PlastiPack Ltd,MOZAMBIQUE,SOUTH AFRICA,98488.08,94938.87,2003.01,4.46,BOLLORE LOGISTICS,PORT ELIZABETH,2026-05-26 23:35:56,2026-05-27 03:35:56,2026-05-28 18:35:56,8593.03,17132.98,334.74,DDP,N,N,COMESA,Y,AMZN245051,N
SHIP000005,22EMKIM494329,873621,ENGINE COMPONENT,PlastiPack Ltd,CHINA,GHANA,149420.15,143660.78,799.21,0.16,DHL GLOBAL FORWARDING,CASABLANCA,2025-11-10 23:35:56,2025-11-11 00:35:56,2025-11-12 12:35:56,35633.54,29608.59,262.63,DAP,N,N,NONE,Y,AMZN857168,N
SHIP000006,22EMKIM495932,845889,GENERATOR,PlastiPack Ltd,CAMEROON,NIGERIA,81137.17,81044.72,4391.27,18.94,AGILITY LOGISTICS,ALEXANDRIA,2026-06-21 23:35:56,2026-06-22 00:35:56,2026-06-23 10:35:56,4510.69,13703.66,208.89,CIF,N,N,NONE,Y,AMZN189814,N
SHIP000007,22EMKIM472603,873103,ENGINE COMPONENT,MetalWorks Foundry,CHINA,GHANA,139372.57,137964.8,1131.24,6.83,BOLLORE LOGISTICS,CASABLANCA,2026-05-26 23:35:56,2026-05-27 01:35:56,2026-05-28 21:35:56,30267.36,27142.39,293.36,CIF,N,N,COMESA,Y,AMZN716886,N
SHIP000008,22EMKIM407100,302104,MEDICINAL PREPARATIONS,GreenEnergy Systems,CHINA,SOUTH AFRICA,100512.18,103372.95,2123.66,9.39,KUEHNE NAGEL,LAGOS,2026-04-22 23:35:56,2026-04-23 04:35:56,2026-04-24 13:35:56,13141.94,18184.66,178.56,EXW,Y,Y,EAC,Y,AMZN864491,N
SHIP000009,22EMKIM453269,,STEEL BARS,AutoParts International,SOUTH AFRICA,UGANDA,63571.31,65868.45,4632.57,16.99,KUEHNE NAGEL,CASABLANCA,2026-07-02 23:35:56,2026-07-03 00:35:56,2026-07-03 16:35:56,13034.19,12256.88,157.59,FOB,N,N,COMESA,Y,AMZN274389,N
SHIP000010,22EMKIM469615,853697,SOLAR PANEL,TechGlobal Ltd,MALAYSIA,GHANA,43144.76,57131.3,295.25,11.73,DHL GLOBAL FORWARDING,CASABLANCA,2026-01-22 23:35:56,2026-01-23 03:35:56,2026-01-24 12:35:56,6336.71,7917.04,236.88,EXW,N,N,COMESA,Y,AMZN627276,N
